FILTER REPORT
=============

Input file: final-test.json
Filter: status = 200
Total results: 4664
Filtered results: 3579

RESULTS:
--------
1. https://www.ozyegin.edu.tr/tr | status=200 | method=static | types=
220. https://fbe.ozyegin.edu.tr/tr/enstituler/makina-muhendisligi | status=200 | method=static | types=
221. https://fbe.ozyegin.edu.tr/tr/maddi-destek | status=200 | method=static | types=
222. https://fbe.ozyegin.edu.tr/tr/iletisim | status=200 | method=static | types=
223. https://fbe.ozyegin.edu.tr/tr/enstituler/fizik | status=200 | method=static | types=
224. https://www.ozyegin.edu.tr/tr/sosyal-bilimler-enstitusu/akademik-programlar | status=200 | method=static | types=
225. https://www.ozyegin.edu.tr/en/graduate-school-social-sciences | status=200 | method=static | types=
226. https://www.ozyegin.edu.tr/tr/sosyal-bilimler-enstitusu/endustri-ve-orgut-psikolojisi-lisansustu-programlari | status=200 | method=static | types=
227. https://www.ozyegin.edu.tr/tr/sosyal-bilimler-enstitusu/psikoloji-lisansustu-programlari | status=200 | method=static | types=
228. https://www.ozyegin.edu.tr/tr/sosyal-bilimler-enstitusu/hakkinda | status=200 | method=static | types=
229. https://www.ozyegin.edu.tr/tr/sosyal-bilimler-enstitusu/mudurun-mesaji | status=200 | method=static | types=
230. https://www.ozyegin.edu.tr/tr/uluslararasi-iliskiler-ve-kuresellesme-tezli-yuksek-lisans-programi | status=200 | method=static | types=
231. https://www.ozyegin.edu.tr/tr/muhendislik-fakultesi/akademik-kadro | status=200 | method=static | types=
232. https://www.ozyegin.edu.tr/tr/sosyal-bilimler-enstitusu/tasarim-teknoloji-ve-toplum-lisansustu-programlari | status=200 | method=static | types=
233. https://www.ozyegin.edu.tr/tr/endustri-ve-orgut-psikolojisi-tezsiz-yuksek-lisans-programi | status=200 | method=static | types=
234. https://www.ozyegin.edu.tr/tr/endustri-ve-orgut-psikolojisi-tezli-yuksek-lisans-programi | status=200 | method=static | types=
235. https://www.ozyegin.edu.tr/tr/psikoloji-tezsiz-yuksek-lisans-programi | status=200 | method=static | types=
236. https://www.ozyegin.edu.tr/tr/tasarim-teknoloji-ve-toplum-tezli-yuksek-lisans-programi | status=200 | method=static | types=
237. https://www.ozyegin.edu.tr/tr/psikoloji-tezli-yuksek-lisans-programi | status=200 | method=static | types=
238. https://www.ozyegin.edu.tr/tr/tasarim-teknoloji-ve-toplum-doktora-programi | status=200 | method=static | types=
239. https://www.ozyegin.edu.tr/tr/ozel-hukuk-tezsiz-yuksek-lisans | status=200 | method=static | types=
240. https://www.ozyegin.edu.tr/tr/kamu-hukuku-tezli-yuksek-lisans-programi | status=200 | method=static | types=
241. https://www.ozyegin.edu.tr/tr/psikoloji-doktora-programi%20 | status=200 | method=static | types=
242. https://www.ozyegin.edu.tr/tr/ozel-hukuk-tezli-yuksek-lisans-programi | status=200 | method=static | types=
243. https://www.ozyegin.edu.tr/tr/sosyal-bilimler-enstitusu/idari-kadro | status=200 | method=static | types=
244. https://www.ozyegin.edu.tr/tr/kamu-hukuku-doktora-programi | status=200 | method=static | types=
245. https://www.ozyegin.edu.tr/tr/sosyal-bilimler-enstitusu/burs-olanaklari-ve-devam-kosullari | status=200 | method=static | types=
246. https://www.ozyegin.edu.tr/tr/ozel-hukuk-doktora | status=200 | method=static | types=
247. https://www.ozyegin.edu.tr/tr/sosyal-bilimler-enstitusu/tez-kilavuzu-ve-formlar | status=200 | method=static | types=
248. https://www.ozyegin.edu.tr/en/international | status=200 | method=static | types=
249. https://www.ozyegin.edu.tr/tr/node/49 | status=200 | method=static | types=
250. https://www.ozyegin.edu.tr/tr/uluslararasi/uluslararasi-ogrenciler-icin-kaynaklar/galeri | status=200 | method=static | types=
251. https://www.ozyegin.edu.tr/tr/kulturlerarasi | status=200 | method=static | types=
252. https://studentservices.ozyegin.edu.tr/tr/akts-ders-katalogu-acilan-dersler/acilan-dersler | status=200 | method=static | types=
253. https://www.ozyegin.edu.tr/tr/node/2321 | status=200 | method=static | types=
254. https://studentservices.ozyegin.edu.tr/en/academic-calendar | status=200 | method=static | types=
255. https://studentservices.ozyegin.edu.tr/tr/ogrenci-hizmetleri/akademik-takvim | status=200 | method=static | types=
256. https://studentservices.ozyegin.edu.tr/tr/ogrenci-gelisimi-ve-deneyimi | status=200 | method=static | types=
257. https://studentservices.ozyegin.edu.tr/tr/basvuru-kabul | status=200 | method=static | types=
258. https://studentservices.ozyegin.edu.tr/tr/mevzuatlar | status=200 | method=static | types=
259. https://studentservices.ozyegin.edu.tr/tr/ucretler-ve-odemeler/2025-2026-akademik-yili-ucretleri/yks-ve-yatay-gecis-ile | status=200 | method=static | types=
260. https://studentservices.ozyegin.edu.tr/ | status=200 | method=static | types=
261. https://studentservices.ozyegin.edu.tr/tr/universiteye-kayitlar | status=200 | method=static | types=
262. https://studentservices.ozyegin.edu.tr/tr/burs-ve-finansal-destek/egitimde-firsat-esitligi-burs-programi | status=200 | method=static | types=
263. https://studentservices.ozyegin.edu.tr/tr/burs-ve-finansal-destek/spor-bursu | status=200 | method=static | types=
264. https://studentservices.ozyegin.edu.tr/tr/donem-ve-ders-kayitlari/derslere-kayit | status=200 | method=static | types=
265. https://studentservices.ozyegin.edu.tr/tr/ogrenci-bilgi-ve-belgeleri/ogrenci-bilgileri-gizliligi | status=200 | method=static | types=
